respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.1464924322958866,0.2321843332716411
26708,0.043165501601211895,0.04769717558183244
26709,0.13234273659706697,0.7071409752445846
26710,0.8730781114583068,0.9304916800802782
26711,0.26260219950845737,0.42697509444566256
26712,0.9063303695264703,0.9770131763460856
26713,0.34246394118516404,0.552981511751496
26714,0.2531286714614987,0.17244057478925248
26715,0.13206868650418907,0.10940404702083634
26716,0.21062424255556902,0.9289828977322742
26717,0.03260440337291174,0.48160907902601413
26718,0.766917532850432,0.7072646762815646
26719,0.09538534219607876,0.9632953076124311
26720,0.005472454644570493,0.18091382596798977
26721,0.07838321304763303,0.26684907517748796
26722,0.05560673147388785,0.0541779697003339
26723,0.8753616839999178,0.9614785691441555
26724,0.07227475731287751,0.7479859071986298
26725,0.0007244540060040398,0.02419485354592215
26726,0.03737282801121614,0.03786004323953941
26727,0.4182410986998076,0.8592708047779817
26728,0.46039332654914733,0.5957683246211509
26729,0.4545198194037019,0.8568865678390212
26730,0.08561253665397832,0.1619415996501465
26731,0.03761149360871437,0.5285314244212019
26732,0.09533372179930223,0.07011927985262446
26733,0.9775914843471071,0.9908910779349762
26734,0.782024471306101,0.44153312209373735
26735,0.08124029858656551,0.27234675092850913
26736,0.03269211102453479,0.22229180004492996
26737,0.04003946134187713,0.06870224168617645
26738,0.8815033559789972,0.8732518756021641
26739,0.35073828031805276,0.2382949690255668
26740,0.04315813481896529,0.08104371670642364
26741,0.15552948931168684,0.9167137068632812
26742,0.1670287834668266,0.407947638844758
26743,0.020003005043227592,0.4871559273527615
26744,0.04428908117301473,0.6854426203494164
26745,0.11154160622142359,0.9234639613992266
26746,0.009573311605559135,0.136624588405443
26747,0.022403107180888296,0.11633647480270223
26748,0.016845590604131645,0.07220887176184183
26749,0.04250829197978472,0.6707093178444494
26750,0.7577088840304507,0.8729482696713198
26751,0.5955380742341175,0.7363151640411429
26752,0.2632825135600672,0.06178524237368519
26753,0.6410896775351056,0.7025460312816483
26754,0.19312919160915734,0.562787006020183
26755,0.14430076993072777,0.3438578545358474
26756,0.0552973635543771,0.03188919515062648
26757,0.25531462251476306,0.6863447487395588
26758,0.570511365439979,0.9057179378912409
26759,0.6254405445457308,0.39492658327558045
26760,0.0028173670755544397,0.02546070102315564
26761,0.4470179847276133,0.6585292879049772
26762,0.1820561405264839,0.900077508833249
26763,0.9156743515409324,0.9639656971930173
26764,0.9758522058365465,0.9826862851112439
26765,0.042182867499080165,0.7881252490872989
26766,0.25414255260371776,0.23641435999531124
26767,0.9797304309551753,0.8100318258423602
26768,0.01955251996020319,0.40185128473771076
26769,0.033056309137940755,0.09299253550714529
26770,0.10435706075796096,0.5492440290254381
26771,0.00548692368530485,0.1131449554237647
26772,0.26391027570574915,0.6148265940330261
26773,0.014190165529739262,0.23577375662938416
26774,0.0016059360653906197,0.322398115271286
26775,0.0804549425824137,0.5425635285174749
26776,0.22304925157370803,0.585122033620024
26777,0.10694326892999066,0.8674564294674554
26778,0.13980078592634493,0.02086575994733675
26779,0.524497067888871,0.7404695649680471
26780,0.027209177524713895,0.9575186114081854
26781,0.17423080706299213,0.4666841053612908
26782,0.3443534135174613,0.3971693870447335
26783,0.11373712298518182,0.3538332865210842
26784,0.04158050765987004,0.8522171258727407
26785,0.031121040229472773,0.8406526307841526
26786,0.026757813109288816,0.2439015317177311
26787,0.1043861176913194,0.6752934813408414
26788,0.01969437101458198,0.9355408580880482
26789,0.010048842035177667,0.16880779445172492
26790,0.023013696206080857,0.21248318438499303
26791,0.6599658415380656,0.19289940790219406
26792,0.21876788871774908,0.811945648705778
26793,0.34877606932208277,0.948375649676419
26794,0.6471563494594058,0.8562048767510948
26795,0.14733665920687727,0.9704770324681744
26796,0.10618495748962843,0.0487140158198166
