respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.26163673552616035,0.26163673552616035
26708,0.06228979316851931,0.06228979316851931
26709,0.6600994628540248,0.6600994628540248
26710,0.908972793994107,0.908972793994107
26711,0.5360285535497346,0.5360285535497346
26712,0.9412922965378587,0.9412922965378587
26713,0.5217480350776679,0.5217480350776679
26714,0.17370231622664953,0.17370231622664953
26715,0.15852088321320407,0.15852088321320407
26716,0.8748007322582882,0.8748007322582882
26717,0.44347340666130275,0.44347340666130275
26718,0.6643758945074165,0.6643758945074165
26719,0.924086213779716,0.924086213779716
26720,0.2211141837307609,0.2211141837307609
26721,0.40095435509950866,0.40095435509950866
26722,0.09749886812373205,0.09749886812373205
26723,0.9116248527779215,0.9116248527779215
26724,0.711835660801314,0.711835660801314
26725,0.05492733459711913,0.05492733459711913
26726,0.05194840948486547,0.05194840948486547
26727,0.8689794458137425,0.8689794458137425
26728,0.5680557560036668,0.5680557560036668
26729,0.5585241961034693,0.5585241961034693
26730,0.1837315202506925,0.1837315202506925
26731,0.3540203310865161,0.3540203310865161
26732,0.19922472379053804,0.19922472379053804
26733,0.9597879089151546,0.9597879089151546
26734,0.4799930034274268,0.4799930034274268
26735,0.4067098024090199,0.4067098024090199
26736,0.20231101043710573,0.20231101043710573
26737,0.10034464295450868,0.10034464295450868
26738,0.8429025283558558,0.8429025283558558
26739,0.3017760207451479,0.3017760207451479
26740,0.11670450397455487,0.11670450397455487
26741,0.909779787871122,0.909779787871122
26742,0.44125349741734365,0.44125349741734365
26743,0.44458815950555963,0.44458815950555963
26744,0.6852649899635562,0.6852649899635562
26745,0.8812830947925357,0.8812830947925357
26746,0.09866428388901798,0.09866428388901798
26747,0.17039780774276858,0.17039780774276858
26748,0.07749938238860073,0.07749938238860073
26749,0.6239530916058685,0.6239530916058685
26750,0.8762331337878657,0.8762331337878657
26751,0.7478908185969142,0.7478908185969142
26752,0.07882882330654165,0.07882882330654165
26753,0.7016830892073799,0.7016830892073799
26754,0.48605673291971624,0.48605673291971624
26755,0.40748984895853313,0.40748984895853313
26756,0.05251228138657041,0.05251228138657041
26757,0.5995667211813632,0.5995667211813632
26758,0.7986912384346079,0.7986912384346079
26759,0.2890853525748247,0.2890853525748247
26760,0.08366447719925114,0.08366447719925114
26761,0.7485697837432962,0.7485697837432962
26762,0.8479314247483867,0.8479314247483867
26763,0.9565128148989991,0.9565128148989991
